,Player,Pos,Year,Tm
1,Kerry Collins,QB,2003,NYG
2,Tiki Barber,RB,2003,NYG
3,Jim Finn,FB,2003,NYG
4,Ike Hilliard,WR,2003,NYG
5,Amani Toomer,WR,2003,NYG
6,Jeremy Shockey,TE,2003,NYG
1,Chad Pennington,QB,2003,NYJ
2,Curtis Martin,RB,2003,NYJ
3,Jerald Sowell,FB,2003,NYJ
4,Curtis Conway,WR,2003,NYJ
5,Santana Moss,WR,2003,NYJ
6,Anthony Becht,TE,2003,NYJ
1,Donovan McNabb,QB,2003,PHI
2,Brian Westbrook,RB,2003,PHI
3,Jon Ritchie,FB,2003,PHI
4,Todd Pinkston,WR,2003,PHI
5,James Thrash,WR,2003,PHI
6,Chad Lewis,TE,2003,PHI
1,Tommy Maddox,QB,2003,PIT
2,Jerome Bettis,RB,2003,PIT
3,Dan Kreider,FB,2003,PIT
4,Plaxico Burress,WR,2003,PIT
5,Hines Ward,WR,2003,PIT
6,Jerame Tuman,TE,2003,PIT
1,Jeff Garcia,QB,2003,SFO
2,Garrison Hearst,RB,2003,SFO
3,Fred Beasley,FB,2003,SFO
4,Terrell Owens,WR,2003,SFO
5,Tai Streets,WR,2003,SFO
6,Jed Weaver,TE,2003,SFO
1,Matt Hasselbeck,QB,2003,SEA
2,Shaun Alexander,RB,2003,SEA
3,Mack Strong,FB,2003,SEA
4,Darrell Jackson,WR,2003,SEA
5,Koren Robinson,WR,2003,SEA
6,Itula Mili,TE,2003,SEA
1,Brad Johnson,QB,2003,TAM
2,Michael Pittman,RB,2003,TAM
3,Jameel Cook,FB,2003,TAM
4,Keyshawn Johnson,WR,2003,TAM
5,Keenan McCardell,WR,2003,TAM
6,Ken Dilger,TE,2003,TAM
1,Steve McNair,QB,2003,TEN
2,Eddie George,RB,2003,TEN
3,Drew Bennett,WR,2003,TEN
4,Derrick Mason,WR,2003,TEN
5,Justin McCareins,WR,2003,TEN
6,Erron Kinney,TE,2003,TEN
1,Patrick Ramsey,QB,2003,WAS
2,Trung Canidate,RB,2003,WAS
3,Bryan Johnson,FB,2003,WAS
4,Laveranues Coles,WR,2003,WAS
5,Rod Gardner,WR,2003,WAS
6,Zeron Flemister,TE,2003,WAS
1,Josh McCown,QB,2004,ARI
2,Emmitt Smith,RB,2004,ARI
3,Anquan Boldin,WR,2004,ARI
4,Larry Fitzgerald,WR,2004,ARI
5,Bryant Johnson,WR,2004,ARI
6,Freddie Jones,TE,2004,ARI
1,Michael Vick,QB,2004,ATL
2,Warrick Dunn,RB,2004,ATL
3,Justin Griffith,FB,2004,ATL
4,Peerless Price,WR,2004,ATL
5,Dez White,WR,2004,ATL
6,Alge Crumpler,TE,2004,ATL
1,Kyle Boller,QB,2004,BAL
2,Jamal Lewis,RB,2004,BAL
3,Alan Ricard,FB,2004,BAL
4,Randy Hymes,WR,2004,BAL
5,Travis Taylor,WR,2004,BAL
6,Terry Jones,TE,2004,BAL
1,Drew Bledsoe,QB,2004,BUF
2,Willis McGahee,RB,2004,BUF
3,Daimon Shelton,FB,2004,BUF
4,Lee Evans,WR,2004,BUF
5,Eric Moulds,WR,2004,BUF
6,Mark Campbell,TE,2004,BUF
1,Jake Delhomme,QB,2004,CAR
2,Nick Goings,RB,2004,CAR
3,Brad Hoover,FB,2004,CAR
4,Keary Colbert,WR,2004,CAR
5,Muhsin Muhammad,WR,2004,CAR
6,Kris Mangum,TE,2004,CAR
1,Chad Hutchinson,QB,2004,CHI
2,Thomas Jones,RB,2004,CHI
3,David Terrell,WR,2004,CHI
4,Bobby Wade,WR,2004,CHI
5,Desmond Clark,TE,2004,CHI
6,Dustin Lyman,TE,2004,CHI
1,Carson Palmer,QB,2004,CIN
2,Rudi Johnson,RB,2004,CIN
3,TJ Houshmandzadeh,WR,2004,CIN
4,Chad Johnson,WR,2004,CIN
5,Reggie Kelly,TE,2004,CIN
6,Tony Stewart,TE,2004,CIN
1,Jeff Garcia,QB,2004,CLE
2,William Green,RB,2004,CLE
3,Terrelle Smith,FB,2004,CLE
4,Antonio Bryant,WR,2004,CLE
5,Dennis Northcutt,WR,2004,CLE
6,Steve Heiden,TE,2004,CLE
1,Vinny Testaverde,QB,2004,DAL
2,Julius Jones,RB,2004,DAL
3,Darian Barnes,FB,2004,DAL
4,Keyshawn Johnson,WR,2004,DAL
5,Quincy Morgan,WR,2004,DAL
6,Jason Witten,TE,2004,DAL
1,Jake Plummer,QB,2004,DEN
2,Reuben Droughns,RB,2004,DEN
3,Ashley Lelie,WR,2004,DEN
4,Rod Smith,WR,2004,DEN
5,Dwayne Carswell,TE,2004,DEN
6,Jeb Putzier,TE,2004,DEN
1,Joey Harrington,QB,2004,DET
2,Kevin Jones,RB,2004,DET
3,Cory Schlesinger,FB,2004,DET
4,Tai Streets,WR,2004,DET
5,Roy Williams,WR,2004,DET
6,Stephen Alexander,TE,2004,DET
1,Brett Favre,QB,2004,GNB
2,Ahman Green,RB,2004,GNB
3,William Henderson,FB,2004,GNB
4,Donald Driver,WR,2004,GNB
5,Javon Walker,WR,2004,GNB
6,Bubba Franks,TE,2004,GNB
1,Peyton Manning,QB,2004,IND
2,Edgerrin James,RB,2004,IND
3,Marvin Harrison,WR,2004,IND
4,Reggie Wayne,WR,2004,IND
5,Dallas Clark,TE,2004,IND
6,Marcus Pollard,TE,2004,IND
1,Byron Leftwich,QB,2004,JAX
2,Fred Taylor,RB,2004,JAX
3,Marc Edwards,FB,2004,JAX
4,Jimmy Smith,WR,2004,JAX
5,Reggie Williams,WR,2004,JAX
6,Kyle Brady,TE,2004,JAX
1,Trent Green,QB,2004,KAN
2,Priest Holmes,RB,2004,KAN
3,Tony Richardson,FB,2004,KAN
4,Eddie Kennison,WR,2004,KAN
5,Johnnie Morton,WR,2004,KAN
6,Tony Gonzalez,TE,2004,KAN
1,Kerry Collins,QB,2004,LVR
2,Tyrone Wheatley,RB,2004,LVR
3,Zack Crockett,FB,2004,LVR
4,Doug Gabriel,WR,2004,LVR
5,Jerry Porter,WR,2004,LVR
6,Doug Jolley,TE,2004,LVR
1,Drew Brees,QB,2004,LAC
2,LaDainian Tomlinson,RB,2004,LAC
3,Lorenzo Neal,FB,2004,LAC
4,Kassim Osgood,WR,2004,LAC
5,Eric Parker,WR,2004,LAC
6,Antonio Gates,TE,2004,LAC
1,Marc Bulger,QB,2004,LAR
2,Marshall Faulk,RB,2004,LAR
3,Isaac Bruce,WR,2004,LAR
4,Torry Holt,WR,2004,LAR
5,Cam Cleeland,TE,2004,LAR
6,Brandon Manumaleuna,TE,2004,LAR
1,AJ Feeley,QB,2004,MIA
2,Sammy Morris,RB,2004,MIA
3,Marty Booker,WR,2004,MIA
4,Chris Chambers,WR,2004,MIA
5,Donald Lee,TE,2004,MIA
6,Randy McMichael,TE,2004,MIA
1,Daunte Culpepper,QB,2004,MIN
2,Michael Bennett,RB,2004,MIN
3,Nate Burleson,WR,2004,MIN
4,Randy Moss,WR,2004,MIN
5,Sean Berton,TE,2004,MIN
6,Jermaine Wiggins,TE,2004,MIN
1,Tom Brady,QB,2004,NWE
2,Corey Dillon,RB,2004,NWE
3,Deion Branch,WR,2004,NWE
4,David Givens,WR,2004,NWE
5,David Patten,WR,2004,NWE
6,Daniel Graham,TE,2004,NWE
1,Aaron Brooks,QB,2004,NOR
2,Deuce McAllister,RB,2004,NOR
3,Mike Karney,FB,2004,NOR
4,Joe Horn,WR,2004,NOR
5,Donte Stallworth,WR,2004,NOR
6,Ernie Conwell,TE,2004,NOR
1,Kurt Warner,QB,2004,NYG
2,Tiki Barber,RB,2004,NYG
3,Jim Finn,FB,2004,NYG
4,Ike Hilliard,WR,2004,NYG
5,Amani Toomer,WR,2004,NYG
6,Jeremy Shockey,TE,2004,NYG
1,Chad Pennington,QB,2004,NYJ
2,Curtis Martin,RB,2004,NYJ
3,Jerald Sowell,FB,2004,NYJ
4,Justin McCareins,WR,2004,NYJ
5,Santana Moss,WR,2004,NYJ
6,Anthony Becht,TE,2004,NYJ
1,Donovan McNabb,QB,2004,PHI
2,Brian Westbrook,RB,2004,PHI
3,Freddie Mitchell,WR,2004,PHI
4,Terrell Owens,WR,2004,PHI
5,Todd Pinkston,WR,2004,PHI
6,Chad Lewis,TE,2004,PHI
1,Ben Roethlisberger,QB,2004,PIT
2,Jerome Bettis,RB,2004,PIT
3,Dan Kreider,FB,2004,PIT
4,Plaxico Burress,WR,2004,PIT
5,Hines Ward,WR,2004,PIT
6,Jerame Tuman,TE,2004,PIT
1,Tim Rattay,QB,2004,SFO
2,Kevan Barlow,RB,2004,SFO
3,Fred Beasley,FB,2004,SFO
4,Brandon Lloyd,WR,2004,SFO
5,Cedrick Wilson,WR,2004,SFO
6,Eric Johnson,TE,2004,SFO
1,Matt Hasselbeck,QB,2004,SEA
2,Shaun Alexander,RB,2004,SEA
3,Mack Strong,FB,2004,SEA
4,Bobby Engram,WR,2004,SEA
5,Darrell Jackson,WR,2004,SEA
6,Jerry Rice,WR,2004,SEA
1,Brian Griese,QB,2004,TAM
2,Michael Pittman,RB,2004,TAM
3,Mike Alstott,FB,2004,TAM
4,Michael Clayton,WR,2004,TAM
5,Joey Galloway,WR,2004,TAM
6,Ken Dilger,TE,2004,TAM
1,Steve McNair,QB,2004,TEN
2,Chris Brown,RB,2004,TEN
3,Robert Holcombe,FB,2004,TEN
4,Drew Bennett,WR,2004,TEN
5,Derrick Mason,WR,2004,TEN
6,Erron Kinney,TE,2004,TEN
1,Mark Brunell,QB,2004,WAS
2,Clinton Portis,RB,2004,WAS
3,Laveranues Coles,WR,2004,WAS
4,Rod Gardner,WR,2004,WAS
5,Chris Cooley,TE,2004,WAS
6,Robert Royal,TE,2004,WAS
1,Kurt Warner,QB,2005,ARI
2,Marcel Shipp,RB,2005,ARI
3,Anquan Boldin,WR,2005,ARI
4,Larry Fitzgerald,WR,2005,ARI
5,Adam Bergen,TE,2005,ARI
6,Eric Edwards,TE,2005,ARI
1,Michael Vick,QB,2005,ATL
2,Warrick Dunn,RB,2005,ATL
3,Justin Griffith,FB,2005,ATL
4,Michael Jenkins,WR,2005,ATL
5,Roddy White,WR,2005,ATL
6,Alge Crumpler,TE,2005,ATL
1,Kyle Boller,QB,2005,BAL
2,Jamal Lewis,RB,2005,BAL
3,Ovie Mughelli,FB,2005,BAL
4,Mark Clayton,WR,2005,BAL
5,Derrick Mason,WR,2005,BAL
6,Todd Heap,TE,2005,BAL
1,Kelly Holcomb,QB,2005,BUF
2,Willis McGahee,RB,2005,BUF
3,Daimon Shelton,FB,2005,BUF
4,Lee Evans,WR,2005,BUF
5,Eric Moulds,WR,2005,BUF
6,Mark Campbell,TE,2005,BUF
1,Jake Delhomme,QB,2005,CAR
2,DeShaun Foster,RB,2005,CAR
3,Brad Hoover,FB,2005,CAR
4,Keary Colbert,WR,2005,CAR
5,Steve Smith ,WR,2005,CAR
6,Kris Mangum,TE,2005,CAR
1,Kyle Orton,QB,2005,CHI
2,Thomas Jones,RB,2005,CHI
3,Bryan Johnson,FB,2005,CHI
4,Justin Gage,WR,2005,CHI
5,Muhsin Muhammad,WR,2005,CHI
6,Desmond Clark,TE,2005,CHI
1,Carson Palmer,QB,2005,CIN
2,Rudi Johnson,RB,2005,CIN
3,Jeremi Johnson,FB,2005,CIN
4,TJ Houshmandzadeh,WR,2005,CIN
5,Chad Johnson,WR,2005,CIN
6,Reggie Kelly,TE,2005,CIN
1,Trent Dilfer,QB,2005,CLE
2,Reuben Droughns,RB,2005,CLE
3,Terrelle Smith,FB,2005,CLE
4,Antonio Bryant,WR,2005,CLE
5,Dennis Northcutt,WR,2005,CLE
6,Steve Heiden,TE,2005,CLE
1,Drew Bledsoe,QB,2005,DAL
2,Julius Jones,RB,2005,DAL
3,Terry Glenn,WR,2005,DAL
4,Keyshawn Johnson,WR,2005,DAL
5,Dan Campbell,TE,2005,DAL
6,Jason Witten,TE,2005,DAL
1,Jake Plummer,QB,2005,DEN
2,Mike Anderson,RB,2005,DEN
3,Kyle Johnson,FB,2005,DEN
4,Ashley Lelie,WR,2005,DEN
5,Rod Smith,WR,2005,DEN
6,Stephen Alexander,TE,2005,DEN
1,Joey Harrington,QB,2005,DET
2,Kevin Jones,RB,2005,DET
3,Cory Schlesinger,FB,2005,DET
4,Scottie Vines,WR,2005,DET
5,Roy Williams,WR,2005,DET
6,Marcus Pollard,TE,2005,DET
1,Brett Favre,QB,2005,GNB
2,Samkon Gado,RB,2005,GNB
3,William Henderson,FB,2005,GNB
4,Donald Driver,WR,2005,GNB
5,Robert Ferguson,WR,2005,GNB
6,David Martin,TE,2005,GNB
1,Peyton Manning,QB,2005,IND
2,Edgerrin James,RB,2005,IND
3,Marvin Harrison,WR,2005,IND
4,Reggie Wayne,WR,2005,IND
5,Dallas Clark,TE,2005,IND
6,Bryan Fletcher,TE,2005,IND
1,Byron Leftwich,QB,2005,JAX
2,Fred Taylor,RB,2005,JAX
3,Greg Jones,FB,2005,JAX
4,Jimmy Smith,WR,2005,JAX
5,Ernest Wilford,WR,2005,JAX
6,Kyle Brady,TE,2005,JAX
1,Trent Green,QB,2005,KAN
2,Larry Johnson,RB,2005,KAN
3,Tony Richardson,FB,2005,KAN
4,Eddie Kennison,WR,2005,KAN
5,Samie Parker,WR,2005,KAN
6,Tony Gonzalez,TE,2005,KAN
1,Kerry Collins,QB,2005,LVR
2,LaMont Jordan,RB,2005,LVR
3,Zack Crockett,FB,2005,LVR
4,Randy Moss,WR,2005,LVR
5,Jerry Porter,WR,2005,LVR
6,Courtney Anderson,TE,2005,LVR
1,Drew Brees,QB,2005,LAC
2,LaDainian Tomlinson,RB,2005,LAC
3,Lorenzo Neal,FB,2005,LAC
4,Keenan McCardell,WR,2005,LAC
5,Eric Parker,WR,2005,LAC
6,Antonio Gates,TE,2005,LAC
1,Marc Bulger,QB,2005,LAR
2,Steven Jackson,RB,2005,LAR
3,Isaac Bruce,WR,2005,LAR
4,Kevin Curtis,WR,2005,LAR
5,Torry Holt,WR,2005,LAR
6,Brandon Manumaleuna,TE,2005,LAR
1,Gus Frerotte,QB,2005,MIA
2,Ronnie Brown,RB,2005,MIA
3,Marty Booker,WR,2005,MIA
4,Chris Chambers,WR,2005,MIA
5,Lorenzo Diamond,TE,2005,MIA
6,Randy McMichael,TE,2005,MIA
1,Brad Johnson,QB,2005,MIN
2,Mewelde Moore,RB,2005,MIN
3,Nate Burleson,WR,2005,MIN
4,Travis Taylor,WR,2005,MIN
5,Jim Kleinsasser,TE,2005,MIN
6,Jermaine Wiggins,TE,2005,MIN
1,Tom Brady,QB,2005,NWE
2,Corey Dillon,RB,2005,NWE
3,Deion Branch,WR,2005,NWE
4,David Givens,WR,2005,NWE
5,Christian Fauria,TE,2005,NWE
6,Ben Watson,TE,2005,NWE
1,Aaron Brooks,QB,2005,NOR
2,Antowain Smith,RB,2005,NOR
3,Mike Karney,FB,2005,NOR
4,Joe Horn,WR,2005,NOR
5,Donte Stallworth,WR,2005,NOR
6,Ernie Conwell,TE,2005,NOR
1,Eli Manning,QB,2005,NYG
2,Tiki Barber,RB,2005,NYG
3,Jim Finn,FB,2005,NYG
4,Plaxico Burress,WR,2005,NYG
5,Amani Toomer,WR,2005,NYG
6,Jeremy Shockey,TE,2005,NYG
1,Brooks Bollinger,QB,2005,NYJ
2,Curtis Martin,RB,2005,NYJ
3,Jerald Sowell,FB,2005,NYJ
4,Laveranues Coles,WR,2005,NYJ
5,Justin McCareins,WR,2005,NYJ
6,Chris Baker,TE,2005,NYJ
1,Donovan McNabb,QB,2005,PHI
2,Brian Westbrook,RB,2005,PHI
3,Josh Parry,FB,2005,PHI
4,Reggie Brown,WR,2005,PHI
5,Greg Lewis,WR,2005,PHI
6,LJ Smith,TE,2005,PHI
1,Ben Roethlisberger,QB,2005,PIT
2,Willie Parker,RB,2005,PIT
3,Dan Kreider,FB,2005,PIT
4,Antwaan Randle El,WR,2005,PIT
5,Hines Ward,WR,2005,PIT
6,Heath Miller,TE,2005,PIT
1,Alex Smith,QB,2005,SFO
2,Kevan Barlow,RB,2005,SFO
3,Fred Beasley,FB,2005,SFO
4,Brandon Lloyd,WR,2005,SFO
5,Johnnie Morton,WR,2005,SFO
6,Billy Bajema,TE,2005,SFO
1,Matt Hasselbeck,QB,2005,SEA
2,Shaun Alexander,RB,2005,SEA
3,Mack Strong,FB,2005,SEA
4,Bobby Engram,WR,2005,SEA
5,Joe Jurevicius,WR,2005,SEA
6,Jerramy Stevens,TE,2005,SEA
1,Chris Simms,QB,2005,TAM
2,Cadillac Williams,RB,2005,TAM
3,Michael Clayton,WR,2005,TAM
4,Joey Galloway,WR,2005,TAM
5,Anthony Becht,TE,2005,TAM
6,Alex Smith,TE,2005,TAM
1,Steve McNair,QB,2005,TEN
2,Chris Brown,RB,2005,TEN
3,Drew Bennett,WR,2005,TEN
4,Brandon Jones,WR,2005,TEN
5,Erron Kinney,TE,2005,TEN
6,Ben Troupe,TE,2005,TEN
1,Mark Brunell,QB,2005,WAS
2,Clinton Portis,RB,2005,WAS
3,Santana Moss,WR,2005,WAS
4,David Patten,WR,2005,WAS
5,Chris Cooley,TE,2005,WAS
6,Robert Royal,TE,2005,WAS
1,Matt Leinart,QB,2006,ARI
2,Edgerrin James,RB,2006,ARI
3,Anquan Boldin,WR,2006,ARI
4,Larry Fitzgerald,WR,2006,ARI
5,Bryant Johnson,WR,2006,ARI
6,Fred Wakefield,TE,2006,ARI
1,Michael Vick,QB,2006,ATL
2,Warrick Dunn,RB,2006,ATL
3,Justin Griffith,FB,2006,ATL
4,Michael Jenkins,WR,2006,ATL
5,Ashley Lelie,WR,2006,ATL
6,Alge Crumpler,TE,2006,ATL
1,Steve McNair,QB,2006,BAL
2,Jamal Lewis,RB,2006,BAL
3,Ovie Mughelli,FB,2006,BAL
4,Mark Clayton,WR,2006,BAL
5,Derrick Mason,WR,2006,BAL
6,Todd Heap,TE,2006,BAL
1,JP Losman,QB,2006,BUF
2,Willis McGahee,RB,2006,BUF
3,Daimon Shelton,FB,2006,BUF
4,Lee Evans,WR,2006,BUF
5,Peerless Price,WR,2006,BUF
6,Robert Royal,TE,2006,BUF
1,Jake Delhomme,QB,2006,CAR
2,DeShaun Foster,RB,2006,CAR
3,Brad Hoover,FB,2006,CAR
4,Keyshawn Johnson,WR,2006,CAR
5,Steve Smith ,WR,2006,CAR
6,Michael Gaines,TE,2006,CAR
1,Rex Grossman,QB,2006,CHI
2,Thomas Jones,RB,2006,CHI
3,Jason McKie,FB,2006,CHI
4,Bernard Berrian,WR,2006,CHI
5,Muhsin Muhammad,WR,2006,CHI
6,Desmond Clark,TE,2006,CHI
1,Carson Palmer,QB,2006,CIN
2,Rudi Johnson,RB,2006,CIN
3,Jeremi Johnson,FB,2006,CIN
4,TJ Houshmandzadeh,WR,2006,CIN
5,Chad Johnson,WR,2006,CIN
6,Reggie Kelly,TE,2006,CIN
1,Charlie Frye,QB,2006,CLE
2,Reuben Droughns,RB,2006,CLE
3,Terrelle Smith,FB,2006,CLE
4,Braylon Edwards,WR,2006,CLE
5,Joe Jurevicius,WR,2006,CLE
6,Kellen Winslow,TE,2006,CLE
1,Tony Romo,QB,2006,DAL
2,Julius Jones,RB,2006,DAL
3,Patrick Crayton,WR,2006,DAL
4,Terry Glenn,WR,2006,DAL
5,Terrell Owens,WR,2006,DAL
6,Jason Witten,TE,2006,DAL
1,Jake Plummer,QB,2006,DEN
2,Tatum Bell,RB,2006,DEN
3,Kyle Johnson,FB,2006,DEN
4,Rod Smith,WR,2006,DEN
5,Javon Walker,WR,2006,DEN
6,Stephen Alexander,TE,2006,DEN
1,Jon Kitna,QB,2006,DET
2,Kevin Jones,RB,2006,DET
3,Cory Schlesinger,FB,2006,DET
4,Mike Furrey,WR,2006,DET
5,Roy Williams,WR,2006,DET
6,Dan Campbell,TE,2006,DET
1,Brett Favre,QB,2006,GNB
2,Ahman Green,RB,2006,GNB
3,William Henderson,FB,2006,GNB
4,Donald Driver,WR,2006,GNB
5,Greg Jennings,WR,2006,GNB
6,Bubba Franks,TE,2006,GNB
1,Peyton Manning,QB,2006,IND
2,Dominic Rhodes,RB,2006,IND
3,Marvin Harrison,WR,2006,IND
4,Reggie Wayne,WR,2006,IND
5,Dallas Clark,TE,2006,IND
6,Ben Utecht,TE,2006,IND
1,David Garrard,QB,2006,JAX
2,Fred Taylor,RB,2006,JAX
3,Ernest Wilford,WR,2006,JAX
4,Reggie Williams,WR,2006,JAX
5,Kyle Brady,TE,2006,JAX
6,George Wrighster,TE,2006,JAX
1,Trent Green,QB,2006,KAN
2,Larry Johnson,RB,2006,KAN
3,Kris Wilson,FB,2006,KAN
4,Eddie Kennison,WR,2006,KAN
5,Samie Parker,WR,2006,KAN
6,Tony Gonzalez,TE,2006,KAN
1,Andrew Walter,QB,2006,LVR
2,LaMont Jordan,RB,2006,LVR
3,Zack Crockett,FB,2006,LVR
4,Randy Moss,WR,2006,LVR
5,Alvis Whitted,WR,2006,LVR
6,Courtney Anderson,TE,2006,LVR
1,Philip Rivers,QB,2006,LAC
2,LaDainian Tomlinson,RB,2006,LAC
3,Lorenzo Neal,FB,2006,LAC
4,Keenan McCardell,WR,2006,LAC
5,Eric Parker,WR,2006,LAC
6,Antonio Gates,TE,2006,LAC
1,Marc Bulger,QB,2006,LAR
2,Steven Jackson,RB,2006,LAR
3,Madison Hedgecock,FB,2006,LAR
4,Isaac Bruce,WR,2006,LAR
5,Torry Holt,WR,2006,LAR
6,Joe Klopfenstein,TE,2006,LAR
1,Joey Harrington,QB,2006,MIA
2,Ronnie Brown,RB,2006,MIA
3,Marty Booker,WR,2006,MIA
4,Chris Chambers,WR,2006,MIA
5,Randy McMichael,TE,2006,MIA
6,Justin Peelle,TE,2006,MIA
1,Brad Johnson,QB,2006,MIN
2,Chester Taylor,RB,2006,MIN
3,Tony Richardson,FB,2006,MIN
4,Travis Taylor,WR,2006,MIN
5,Troy Williamson,WR,2006,MIN
6,Jim Kleinsasser,TE,2006,MIN
1,Tom Brady,QB,2006,NWE
2,Corey Dillon,RB,2006,NWE
3,Troy Brown,WR,2006,NWE
4,Reche Caldwell,WR,2006,NWE
5,Daniel Graham,TE,2006,NWE
6,Ben Watson,TE,2006,NWE
1,Drew Brees,QB,2006,NOR
2,Deuce McAllister,RB,2006,NOR
3,Mike Karney,FB,2006,NOR
4,Marques Colston,WR,2006,NOR
5,Joe Horn,WR,2006,NOR
6,Mark Campbell,TE,2006,NOR
1,Eli Manning,QB,2006,NYG
2,Tiki Barber,RB,2006,NYG
3,Jim Finn,FB,2006,NYG
4,Plaxico Burress,WR,2006,NYG
5,Amani Toomer,WR,2006,NYG
6,Jeremy Shockey,TE,2006,NYG
1,Chad Pennington,QB,2006,NYJ
2,Leon Washington,RB,2006,NYJ
3,Laveranues Coles,WR,2006,NYJ
4,Jerricho Cotchery,WR,2006,NYJ
5,Justin McCareins,WR,2006,NYJ
6,Chris Baker,TE,2006,NYJ
1,Donovan McNabb,QB,2006,PHI
2,Brian Westbrook,RB,2006,PHI
3,Thomas Tapeh,FB,2006,PHI
4,Reggie Brown,WR,2006,PHI
5,Donte Stallworth,WR,2006,PHI
6,LJ Smith,TE,2006,PHI
1,Ben Roethlisberger,QB,2006,PIT
2,Willie Parker,RB,2006,PIT
3,Dan Kreider,FB,2006,PIT
4,Hines Ward,WR,2006,PIT
5,Cedrick Wilson,WR,2006,PIT
6,Heath Miller,TE,2006,PIT
1,Alex Smith,QB,2006,SFO
2,Frank Gore,RB,2006,SFO
3,Arnaz Battle,WR,2006,SFO
4,Antonio Bryant,WR,2006,SFO
5,Vernon Davis,TE,2006,SFO
6,Eric Johnson,TE,2006,SFO
1,Matt Hasselbeck,QB,2006,SEA
2,Shaun Alexander,RB,2006,SEA
3,Mack Strong,FB,2006,SEA
4,Deion Branch,WR,2006,SEA
5,Nate Burleson,WR,2006,SEA
6,Darrell Jackson,WR,2006,SEA
1,Bruce Gradkowski,QB,2006,TAM
2,Cadillac Williams,RB,2006,TAM
3,Mike Alstott,FB,2006,TAM
4,Michael Clayton,WR,2006,TAM
5,Joey Galloway,WR,2006,TAM
6,Anthony Becht,TE,2006,TAM
1,Vince Young,QB,2006,TEN
2,Travis Henry,RB,2006,TEN
3,Drew Bennett,WR,2006,TEN
4,Brandon Jones,WR,2006,TEN
5,Bo Scaife,TE,2006,TEN
6,Ben Troupe,TE,2006,TEN
1,Mark Brunell,QB,2006,WAS
2,Ladell Betts,RB,2006,WAS
3,Brandon Lloyd,WR,2006,WAS
4,Santana Moss,WR,2006,WAS
5,Antwaan Randle El,WR,2006,WAS
6,Chris Cooley,TE,2006,WAS
1,Kurt Warner,QB,2007,ARI
2,Edgerrin James,RB,2007,ARI
3,Terrelle Smith,FB,2007,ARI
4,Anquan Boldin,WR,2007,ARI
5,Larry Fitzgerald,WR,2007,ARI
6,Leonard Pope,TE,2007,ARI
1,Joey Harrington,QB,2007,ATL
2,Warrick Dunn,RB,2007,ATL
3,Ovie Mughelli,FB,2007,ATL
4,Joe Horn,WR,2007,ATL
5,Roddy White,WR,2007,ATL
6,Alge Crumpler,TE,2007,ATL
1,Kyle Boller,QB,2007,BAL
2,Willis McGahee,RB,2007,BAL
3,LeRon McClain,FB,2007,BAL
4,Mark Clayton,WR,2007,BAL
5,Derrick Mason,WR,2007,BAL
6,Quinn Sypniewski,TE,2007,BAL
1,Trent Edwards,QB,2007,BUF
2,Marshawn Lynch,RB,2007,BUF
3,Lee Evans,WR,2007,BUF
4,Josh Reed,WR,2007,BUF
5,Michael Gaines,TE,2007,BUF
6,Robert Royal,TE,2007,BUF
1,Vinny Testaverde,QB,2007,CAR
2,DeShaun Foster,RB,2007,CAR
3,Brad Hoover,FB,2007,CAR
4,Keary Colbert,WR,2007,CAR
5,Steve Smith ,WR,2007,CAR
6,Jeff King,TE,2007,CAR
1,Rex Grossman,QB,2007,CHI
2,Cedric Benson,RB,2007,CHI
3,Jason McKie,FB,2007,CHI
4,Bernard Berrian,WR,2007,CHI
5,Muhsin Muhammad,WR,2007,CHI
6,Desmond Clark,TE,2007,CHI
1,Carson Palmer,QB,2007,CIN
2,Rudi Johnson,RB,2007,CIN
3,Jeremi Johnson,FB,2007,CIN
4,TJ Houshmandzadeh,WR,2007,CIN
5,Chad Johnson,WR,2007,CIN
6,Reggie Kelly,TE,2007,CIN
1,Derek Anderson,QB,2007,CLE
2,Jamal Lewis,RB,2007,CLE
3,Lawrence Vickers,FB,2007,CLE
4,Braylon Edwards,WR,2007,CLE
5,Joe Jurevicius,WR,2007,CLE
6,Kellen Winslow,TE,2007,CLE
1,Tony Romo,QB,2007,DAL
2,Julius Jones,RB,2007,DAL
3,Oliver Hoyte,FB,2007,DAL
4,Patrick Crayton,WR,2007,DAL
5,Terrell Owens,WR,2007,DAL
6,Jason Witten,TE,2007,DAL
1,Jay Cutler,QB,2007,DEN
2,Selvin Young,RB,2007,DEN
3,Cecil Sapp,FB,2007,DEN
4,Brandon Marshall,WR,2007,DEN
5,Brandon Stokley,WR,2007,DEN
6,Daniel Graham,TE,2007,DEN
1,Jon Kitna,QB,2007,DET
2,Kevin Jones,RB,2007,DET
3,Mike Furrey,WR,2007,DET
4,Calvin Johnson,WR,2007,DET
5,Roy Williams,WR,2007,DET
6,Sean McHugh,TE,2007,DET
1,Brett Favre,QB,2007,GNB
2,Ryan Grant,RB,2007,GNB
3,Korey Hall,FB,2007,GNB
4,Donald Driver,WR,2007,GNB
5,Greg Jennings,WR,2007,GNB
6,Donald Lee,TE,2007,GNB
1,Peyton Manning,QB,2007,IND
2,Joseph Addai,RB,2007,IND
3,Anthony Gonzalez,WR,2007,IND
4,Reggie Wayne,WR,2007,IND
5,Dallas Clark,TE,2007,IND
